用户名,平台,课程ID,课程名称,视频总数,视频已完成,考试总数,考试已完成
251110150431,粟湾平台,1023757,人像摄影,114,114,2,0
251110150431,粟湾平台,1024099,25-26-2 大学英语II（普本）SPOC,4,4,4,4
251110150431,劳动教育平台,1011331,实验室安全教育 第二版,19,19,1,1
251110150401,粟湾平台,1023759,创新思维,69,69,2,0
251110150401,粟湾平台,1023758,自我认知与情绪管理,64,64,2,0
251110150401,粟湾平台,1023752,图说人际关系心理,43,43,2,0
251110150401,粟湾平台,1024099,25-26-2 大学英语II（普本）SPOC,4,1,4,4
251110150401,劳动教育平台,1011331,实验室安全教育 第二版,19,19,1,1
251060150509,劳动课程测评考试平台,1011331,实验室安全教育 第二版,19,19,1,1
251060150509,在线课程测评考试平台,1024013,程序设计基础实训,0,0,0,0
251060150509,在线课程测评考试平台,1024122,大学英语II（英语 普通本科),4,2,0,0
251060150509,在线课程测评考试平台,1023750,职业素养与竞争力,115,115,2,0
251060150509,在线课程测评考试平台,1023747,中西文化鉴赏,47,47,2,0
251060150509,在线课程测评考试平台,1023751,文化差异与跨文化交际,39,39,2,0
241080660109,劳动课程测评考试平台,1011333,艺术鉴赏与评论,46,46,1,0
241080660109,在线课程测评考试平台,1023983,大学外语IV （英语 普通专科）,6,1,2,0
241080660109,在线课程测评考试平台,1022457,实验室安全教育,3,3,0,0
241080660109,公益课程平台,1021756,《服务学习》,26,26,0,0
241040560421,劳动课程测评考试平台,1011333,艺术鉴赏与评论,46,46,1,0
241040560421,在线课程测评考试平台,1024023,SPOC课程语法,6,0,0,0
241040560421,公益课程平台,1021756,《服务学习》,26,0,0,0
241040560421,粟湾平台,1024023,SPOC课程语法,6,0,0,0
241040560421,劳动教育平台,1011333,艺术鉴赏与评论,46,0,1,0
241040560421,中嘉鑫盛,1021756,《服务学习》,26,0,0,0
251060150432,粟湾平台,1023739,情商与智慧人生,41,41,2,0
251060150432,粟湾平台,1024013,程序设计基础实训,0,0,0,0
251060150432,粟湾平台,1023752,图说人际关系心理,43,41,2,0
251060150432,粟湾平台,1024096,Spoc大学英语语法课,6,6,0,0
251060150432,粟湾平台,1023757,人像摄影,114,80,2,0
251060150432,劳动教育平台,1011331,实验室安全教育 第二版,19,0,1,0
231060150704,劳动教育平台,1011330,毕业论文写作与答辩,32,31,1,0
241060150411,劳动课程测评考试平台,1011333,艺术鉴赏与评论,46,46,1,1
241060150411,在线课程测评考试平台,1024136,大学英语Ⅳ 普通本科,4,4,4,2
241060150411,公益课程平台,1021756,《服务学习》,26,25,0,0
231020860122,在线课程测评考试平台,1024201,国画赏析,26,1,0,0
251110150432,粟湾平台,1023759,创新思维,69,45,2,0
251110150432,粟湾平台,1023757,人像摄影,114,89,2,0
251110150432,粟湾平台,1024099,25-26-2 大学英语II（普本）SPOC,4,4,4,4
251110150432,粟湾平台,1023751,文化差异与跨文化交际,39,15,2,0
251110150432,劳动教育平台,1011331,实验室安全教育 第二版,19,18,1,0
241080760215,粟湾平台,1024152,大学英语语法I,6,6,0,0
241080760215,粟湾平台,1022457,实验室安全教育,3,3,0,0
241080760215,劳动教育平台,1011333,艺术鉴赏与评论,46,46,1,0
241080760215,中嘉鑫盛,1021756,《服务学习》,26,2,0,0
231010251206,劳动教育平台,1011330,毕业论文写作与答辩,32,1,1,1
231070750229,劳动课程测评考试平台,1011330,毕业论文写作与答辩,32,0,1,0
231020250609,劳动课程测评考试平台,1011330,毕业论文写作与答辩,32,0,1,0
231020250609,在线课程测评考试平台,1023757,人像摄影,114,0,2,0
231020250609,在线课程测评考试平台,1023751,文化差异与跨文化交际,39,0,2,0
251040150201,粟湾平台,1023741,沟通理论与技巧,30,30,2,0
251040150201,粟湾平台,1024073,大学英语II（英语 普通本科）,4,4,0,0
251040150201,粟湾平台,1023707,中国诗歌艺术,68,68,2,0
251040150201,粟湾平台,1023743,网络信息检索,52,52,2,0
251040150201,劳动教育平台,1011331,实验室安全教育 第二版,19,4,1,0
251010159909,劳动课程测评考试平台,1011331,实验室安全教育 第二版,19,19,1,0
251010159909,在线课程测评考试平台,1023739,情商与智慧人生,41,39,2,0
251010159909,在线课程测评考试平台,1024008,法律逻辑学,4,0,0,0
251010159909,在线课程测评考试平台,1023707,中国诗歌艺术,68,67,2,0
251010159909,在线课程测评考试平台,1023747,中西文化鉴赏,47,47,2,0
